,name,symbol,country,indices,industries,symbols,metadata,isins,wiki_name
77,Synopsys Inc.,SNPS,United States,"['NASDAQ 100', 'S&P 500']","['Software', 'Technology', 'Software & IT Services']","[{'yahoo': 'SYP.F', 'google': 'FRA:SYP', 'currency': 'EUR'}, {'yahoo': 'SNPS', 'google': 'NASDAQ:SNPS', 'currency': 'USD'}, {'yahoo': '0LBP.L', 'google': 'LON:0LBP', 'currency': 'GBP'}]","{'founded': 1986, 'employees': 13000}",[],
78,VeriSign Inc.,VRSN,United States,"['NASDAQ 100', 'S&P 500']","['Technology', 'Software & IT Services', 'IT Services & Consulting']","[{'yahoo': 'VRS.F', 'google': 'FRA:VRSN', 'currency': 'EUR'}, {'yahoo': 'VRSN', 'google': 'NASDAQ:VRSN', 'currency': 'USD'}, {'yahoo': '0LOZ.L', 'google': 'LON:0LOZ', 'currency': 'GBP'}]","{'founded': 1995, 'employees': 1019}",[],
79,ASML Holding N.V.,ASML,Netherlands,"['AEX', 'EURO STOXX 50', 'NASDAQ 100']","['Semiconductor Equipment & Testing', 'Technology', 'Technology Equipment', 'Semiconductors & Semiconductor Equipment']","[{'yahoo': 'ASME.F', 'google': 'FRA:ASME', 'currency': 'EUR'}, {'yahoo': 'ASMLF', 'google': 'OTCMKTS:ASMLF', 'currency': 'USD'}, {'yahoo': 'ASML', 'google': 'NASDAQ:ASML', 'currency': 'USD'}, {'yahoo': 'ASML.AS', 'google': 'AMS:ASML', 'currency': 'EUR'}, {'yahoo': 'ASMF.F', 'google': 'FRA:ASMF', 'currency': 'EUR'}]","{'founded': 1984, 'employees': 28000}",['NL0010273215'],
80,CDW Corporation,CDW,United States,"['NASDAQ 100', 'S&P 500']",['IT'],"[{'yahoo': 'CDW', 'google': 'NASDAQ:CDW', 'currency': 'USD'}, {'yahoo': 'CDW.F', 'google': 'FRA:CDW', 'currency': 'EUR'}]","{'founded': 1984, 'employees': 9019}",['US12514G1085'],CDW Corporation
81,"DexCom, Inc.",DXCM,United States,"['NASDAQ 100', 'S&P 500']",[],"[{'yahoo': 'DXCM', 'google': 'NASDAQ:DXCM', 'currency': 'USD'}, {'yahoo': 'DC4.F', 'google': 'FRA:DC4', 'currency': 'EUR'}, {'yahoo': '0A4M.L', 'google': 'LON:0A4M', 'currency': 'GBP'}]","{'founded': 1999, 'employees': 3900}",[],"DexCom, Inc."
82,"PepsiCo, Inc.",PEP,United States,"['NASDAQ 100', 'S&P 100', 'S&P 500']",['Beverages'],"[{'yahoo': 'PEP', 'google': 'NASDAQ:PEP', 'currency': 'USD'}, {'yahoo': 'PEP.F', 'google': 'FRA:PEP', 'currency': 'EUR'}]","{'founded': 1898, 'employees': 267000}",[],"PepsiCo, Inc."
83,Xcel Energy Inc.,XEL,United States,"['NASDAQ 100', 'S&P 500']",[],"[{'yahoo': 'XEL', 'google': 'NASDAQ:XEL', 'currency': 'USD'}, {'yahoo': 'NRN.F', 'google': 'FRA:NRN', 'currency': 'EUR'}, {'yahoo': '0M1R.L', 'google': 'LON:0M1R', 'currency': 'GBP'}]","{'founded': 1909, 'employees': 11075}",[],Xcel Energy Inc.
84,Atlassian Corporation Plc,TEAM,Australia,['NASDAQ 100'],['Software'],"[{'yahoo': 'TEAM', 'google': 'NASDAQ:TEAM', 'currency': 'USD'}, {'yahoo': '59A.F', 'google': 'FRA:59A', 'currency': 'EUR'}]","{'founded': 2002, 'employees': 6117}",[],Atlassian Corporation Plc
85,"DocuSign, Inc.",DOCU,United States,['NASDAQ 100'],[],"[{'yahoo': 'DOCU', 'google': 'NASDAQ:DOCU', 'currency': 'USD'}, {'yahoo': 'DS3.F', 'google': 'FRA:DS3', 'currency': 'EUR'}, {'yahoo': '0XNH.L', 'google': 'LON:0XNH', 'currency': 'GBP'}]","{'founded': 2003, 'employees': 6200}",[],"DocuSign, Inc."
86,Keurig Dr Pepper Inc.,KDP,United States,['NASDAQ 100'],['Beverage'],"[{'yahoo': 'DP5.F', 'google': 'FRA:DP5', 'currency': 'EUR'}, {'yahoo': 'KDP', 'google': 'NASDAQ:KDP', 'currency': 'USD'}, {'yahoo': '0Z62.L', 'google': 'LON:0Z62', 'currency': 'GBP'}]","{'founded': 1981, 'employees': 25500}",[],Keurig Dr Pepper Inc.
